dataset,track,point,method,scope,display_policy,notes
HLCA_Core,cpu_core,build_100000_eval10k,atlasmtl,main,headline,
HLCA_Core,cpu_core,build_100000_eval10k,reference_knn,main,headline,
HLCA_Core,cpu_core,build_100000_eval10k,celltypist,main,headline,
HLCA_Core,cpu_core,build_100000_eval10k,singler,main,headline,
HLCA_Core,cpu_core,build_100000_eval10k,symphony,main,headline,
HLCA_Core,gpu,build_100000_eval10k,atlasmtl,main,headline,
HLCA_Core,gpu,build_100000_eval10k,scanvi,main,headline,
HLCA_Core,cpu_seurat,build_50000_eval10k,seurat_anchor_transfer,supplementary,supplementary,
HLCA_Core,cpu_core,predict_100000_10000,atlasmtl,main,headline,
HLCA_Core,cpu_core,predict_100000_10000,reference_knn,main,headline,
HLCA_Core,cpu_core,predict_100000_10000,celltypist,main,headline,
HLCA_Core,cpu_core,predict_100000_10000,singler,main,headline,
HLCA_Core,cpu_core,predict_100000_10000,symphony,main,headline,
HLCA_Core,gpu,predict_100000_10000,atlasmtl,main,headline,
HLCA_Core,gpu,predict_100000_10000,scanvi,main,headline,
PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,atlasmtl,main,headline,
PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,reference_knn,main,headline,
PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,celltypist,main,headline,
PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,singler,main,headline,
PHMap_Lung_Full_v43_light,cpu_core,build_100000_eval10k,symphony,main,headline,
PHMap_Lung_Full_v43_light,gpu,build_100000_eval10k,atlasmtl,main,headline,
PHMap_Lung_Full_v43_light,gpu,build_100000_eval10k,scanvi,main,headline,
PHMap_Lung_Full_v43_light,cpu_seurat,build_50000_eval10k,seurat_anchor_transfer,supplementary,supplementary,
PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,atlasmtl,main,headline,
PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,reference_knn,main,headline,
PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,celltypist,main,headline,
PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,singler,main,headline,
PHMap_Lung_Full_v43_light,cpu_core,predict_100000_10000,symphony,main,headline,
PHMap_Lung_Full_v43_light,gpu,predict_100000_10000,atlasmtl,main,headline,
PHMap_Lung_Full_v43_light,gpu,predict_100000_10000,scanvi,main,headline,
mTCA,cpu_core,build_100000_eval10k,atlasmtl,main,headline,
mTCA,cpu_core,build_100000_eval10k,reference_knn,main,headline,
mTCA,cpu_core,build_100000_eval10k,celltypist,main,headline,
mTCA,cpu_core,build_100000_eval10k,singler,main,headline,
mTCA,cpu_core,build_100000_eval10k,symphony,main,headline,
mTCA,gpu,build_100000_eval10k,atlasmtl,main,headline,
mTCA,gpu,build_100000_eval10k,scanvi,main,headline,
mTCA,cpu_seurat,build_50000_eval10k,seurat_anchor_transfer,supplementary,supplementary,
mTCA,cpu_core,predict_100000_10000,atlasmtl,main,headline,
mTCA,cpu_core,predict_100000_10000,reference_knn,main,headline,
mTCA,cpu_core,predict_100000_10000,celltypist,main,headline,
mTCA,cpu_core,predict_100000_10000,singler,main,headline,
mTCA,cpu_core,predict_100000_10000,symphony,main,headline,
mTCA,gpu,predict_100000_10000,atlasmtl,main,headline,
mTCA,gpu,predict_100000_10000,scanvi,main,headline,
DISCO_hPBMCs,cpu_core,build_100000_eval10k,atlasmtl,main,headline,
DISCO_hPBMCs,cpu_core,build_100000_eval10k,reference_knn,main,headline,
DISCO_hPBMCs,cpu_core,build_100000_eval10k,celltypist,main,headline,
DISCO_hPBMCs,cpu_core,build_100000_eval10k,singler,main,headline,
DISCO_hPBMCs,cpu_core,build_100000_eval10k,symphony,main,headline,
DISCO_hPBMCs,gpu,build_100000_eval10k,atlasmtl,main,headline,
DISCO_hPBMCs,gpu,build_100000_eval10k,scanvi,main,headline,
DISCO_hPBMCs,cpu_seurat,build_50000_eval10k,seurat_anchor_transfer,supplementary,supplementary,
DISCO_hPBMCs,cpu_core,predict_100000_10000,atlasmtl,main,headline,
DISCO_hPBMCs,cpu_core,predict_100000_10000,reference_knn,main,headline,
DISCO_hPBMCs,cpu_core,predict_100000_10000,celltypist,main,headline,
DISCO_hPBMCs,cpu_core,predict_100000_10000,singler,main,headline,
DISCO_hPBMCs,cpu_core,predict_100000_10000,symphony,main,headline,
DISCO_hPBMCs,gpu,predict_100000_10000,atlasmtl,main,headline,
DISCO_hPBMCs,gpu,predict_100000_10000,scanvi,main,headline,
Vento,cpu_core,build_50000_eval10k,atlasmtl,supplementary,supplementary,
Vento,cpu_core,build_50000_eval10k,reference_knn,supplementary,supplementary,
Vento,cpu_core,build_50000_eval10k,celltypist,supplementary,supplementary,
Vento,cpu_core,build_50000_eval10k,singler,supplementary,supplementary,
Vento,cpu_core,build_50000_eval10k,symphony,supplementary,supplementary,
Vento,gpu,build_50000_eval10k,atlasmtl,supplementary,supplementary,
Vento,gpu,build_50000_eval10k,scanvi,supplementary,supplementary,
Vento,cpu_seurat,build_50000_eval10k,seurat_anchor_transfer,supplementary,supplementary,
Vento,cpu_core,predict_50000_10000,atlasmtl,supplementary,supplementary,
Vento,cpu_core,predict_50000_10000,reference_knn,supplementary,supplementary,
Vento,cpu_core,predict_50000_10000,celltypist,supplementary,supplementary,
Vento,cpu_core,predict_50000_10000,singler,supplementary,supplementary,
Vento,cpu_core,predict_50000_10000,symphony,supplementary,supplementary,
Vento,gpu,predict_50000_10000,atlasmtl,supplementary,supplementary,
Vento,gpu,predict_50000_10000,scanvi,supplementary,supplementary,
Vento,cpu_seurat,predict_50000_10000,seurat_anchor_transfer,supplementary,supplementary,
